Complaint_ID,Customer_ID,Complaint_Type,Priority,Created_Date,Closed_Date,TAT_Hours,Status
CMP00085,C100586,No Gas Supply,Low,2025-12-20,2025-12-20,2.66,Closed
CMP00086,C100062,No Gas Supply,Medium,2025-02-28,,,Pending
CMP00087,C100668,Low Pressure,Medium,2025-07-20,2025-07-20,20.06,Closed
CMP00088,C100131,No Gas Supply,Low,2025-08-03,,,Pending
CMP00089,C100990,Low Pressure,Medium,2025-11-05,2025-11-05,8.48,Closed
CMP00090,C100940,No Gas Supply,Medium,2025-02-06,,,Pending
CMP00091,C100767,Low Pressure,Low,2025-10-31,2025-10-31,18.52,Closed
CMP00092,C100348,Meter Issue,Medium,2025-02-28,2025-03-01,38.1,Closed
CMP00093,C100674,Low Pressure,Low,2025-04-10,,,Pending
CMP00094,C100179,Meter Issue,Low,2025-12-25,,,Pending
CMP00095,C100908,Gas Leakage,High,2025-09-26,2025-09-26,0.84,Closed
CMP00096,C100838,Billing Issue,Low,2025-02-21,2025-02-24,78.15,Closed
CMP00097,C100192,Billing Issue,Medium,2025-01-23,2025-01-25,59.39,Closed
CMP00098,C100477,Low Pressure,Low,2025-07-04,2025-07-04,4.67,Closed
CMP00099,C100386,No Gas Supply,Medium,2025-08-20,2025-08-20,2.04,Closed
CMP00100,C100978,Billing Issue,Medium,2025-06-12,,,Pending
CMP00101,C100015,Billing Issue,Low,2025-04-13,2025-04-19,163.07,Closed
CMP00102,C100281,Gas Leakage,High,2025-10-02,,,Pending
CMP00103,C100486,Gas Leakage,High,2025-07-09,,,Pending
CMP00104,C100310,No Gas Supply,Low,2025-04-06,2025-04-06,1.16,Closed
CMP00105,C100002,Gas Leakage,High,2025-05-09,2025-05-09,1.09,Closed
CMP00106,C100280,Billing Issue,Low,2025-12-06,2025-12-12,157.39,Closed
CMP00107,C100622,Low Pressure,Low,2025-02-04,2025-02-04,14.57,Closed
CMP00108,C100892,No Gas Supply,Medium,2025-12-28,2025-12-28,1.93,Closed
CMP00109,C100004,No Gas Supply,Low,2025-12-10,,,Pending
CMP00110,C100365,No Gas Supply,Low,2025-03-26,2025-03-26,1.84,Closed
CMP00111,C100898,Meter Issue,Low,2025-08-22,,,Pending
CMP00112,C100731,Low Pressure,Low,2025-08-27,,,Pending
CMP00113,C100937,Billing Issue,Medium,2025-01-28,,,Pending
CMP00114,C100703,Gas Leakage,High,2025-05-19,2025-05-19,2.55,Closed
CMP00115,C100130,Meter Issue,Medium,2025-05-21,2025-05-24,91.71,Closed
CMP00116,C100463,Gas Leakage,High,2025-01-05,2025-01-05,1.51,Closed
CMP00117,C100181,Meter Issue,Medium,2025-02-16,2025-02-19,76.2,Closed
CMP00118,C100160,No Gas Supply,Medium,2025-02-20,2025-02-20,2.55,Closed
CMP00119,C100742,Gas Leakage,High,2025-03-26,2025-03-26,0.55,Closed
CMP00120,C100050,Meter Issue,Low,2025-03-22,2025-03-25,87.87,Closed
CMP00121,C100813,Low Pressure,Medium,2025-10-02,2025-10-02,16.79,Closed
CMP00122,C100214,Low Pressure,Low,2025-09-13,2025-09-13,4.18,Closed
CMP00123,C100584,Billing Issue,Medium,2025-07-28,,,Pending
CMP00124,C100311,Meter Issue,Low,2025-05-28,2025-05-30,69.62,Closed
CMP00125,C100591,No Gas Supply,Medium,2025-05-28,,,Pending
CMP00126,C100923,Gas Leakage,High,2025-10-20,2025-10-20,1.37,Closed
CMP00127,C100319,Billing Issue,Low,2025-05-15,2025-05-19,116.87,Closed
CMP00128,C100383,Billing Issue,Low,2025-12-06,2025-12-10,98.8,Closed
CMP00129,C100795,Low Pressure,Low,2025-01-12,2025-01-12,13.96,Closed
CMP00130,C100747,Gas Leakage,High,2025-05-21,,,Pending
CMP00131,C100707,Billing Issue,Low,2025-02-21,,,Pending
CMP00132,C100308,Low Pressure,Medium,2025-06-09,2025-06-09,10.03,Closed
CMP00133,C100689,Meter Issue,Low,2025-07-20,,,Pending
CMP00134,C100761,No Gas Supply,Medium,2025-09-15,2025-09-15,1.86,Closed
CMP00135,C100090,Billing Issue,Low,2025-11-29,2025-12-05,157.41,Closed
CMP00136,C100699,Meter Issue,Low,2025-01-08,2025-01-09,40.17,Closed
CMP00137,C100324,Billing Issue,Medium,2025-09-07,2025-09-08,36.66,Closed
CMP00138,C100232,Low Pressure,Low,2025-02-02,,,Pending
CMP00139,C100261,Billing Issue,Low,2025-11-08,,,Pending
CMP00140,C100735,Low Pressure,Low,2025-03-18,2025-03-18,7.19,Closed
CMP00141,C100624,Low Pressure,Low,2025-01-07,2025-01-07,5.0,Closed
CMP00142,C100502,Meter Issue,Low,2025-03-15,,,Pending
CMP00143,C100019,No Gas Supply,Low,2025-12-17,2025-12-17,1.29,Closed
CMP00144,C100337,No Gas Supply,Low,2025-12-17,2025-12-17,1.62,Closed
CMP00145,C100623,No Gas Supply,Medium,2025-03-01,,,Pending
CMP00146,C100313,Gas Leakage,High,2025-05-09,2025-05-09,2.34,Closed
CMP00147,C100106,Gas Leakage,High,2025-11-18,,,Pending
CMP00148,C100787,Meter Issue,Medium,2025-10-31,2025-11-06,162.01,Closed
CMP00149,C100313,Low Pressure,Low,2025-01-25,,,Pending
CMP00150,C100141,Low Pressure,Low,2025-12-20,2025-12-20,4.32,Closed
CMP00151,C100918,Gas Leakage,High,2025-03-08,2025-03-08,1.75,Closed
CMP00152,C100498,Gas Leakage,High,2025-05-10,,,Pending
CMP00153,C100316,Gas Leakage,High,2025-01-26,2025-01-26,1.1,Closed
CMP00154,C100466,Meter Issue,Medium,2025-10-28,2025-11-03,153.5,Closed
CMP00155,C100275,No Gas Supply,Medium,2025-12-13,2025-12-13,2.99,Closed
CMP00156,C100805,Low Pressure,Medium,2025-08-17,2025-08-17,17.95,Closed
CMP00157,C100770,Low Pressure,Medium,2025-01-07,2025-01-07,4.53,Closed
CMP00158,C100880,No Gas Supply,Low,2025-05-07,2025-05-07,1.99,Closed
CMP00159,C100611,Low Pressure,Medium,2025-02-06,,,Pending
CMP00160,C101000,No Gas Supply,Medium,2025-04-02,2025-04-02,1.86,Closed
CMP00161,C100245,Gas Leakage,High,2025-03-05,2025-03-05,1.85,Closed
CMP00162,C100852,Meter Issue,Medium,2025-09-02,2025-09-04,56.2,Closed
CMP00163,C100617,Low Pressure,Medium,2025-07-03,2025-07-03,4.54,Closed
CMP00164,C100946,Meter Issue,Medium,2025-04-14,2025-04-18,111.12,Closed
CMP00165,C100640,Meter Issue,Medium,2025-03-31,2025-04-05,143.02,Closed
CMP00166,C100768,Meter Issue,Medium,2025-03-11,2025-03-14,72.29,Closed
CMP00167,C100534,Meter Issue,Low,2025-07-26,,,Pending
CMP00168,C100157,Low Pressure,Medium,2025-08-20,2025-08-20,11.56,Closed
CMP00169,C100394,Gas Leakage,High,2025-06-14,2025-06-14,0.61,Closed
CMP00170,C100251,Gas Leakage,High,2025-11-27,2025-11-27,1.83,Closed
CMP00171,C100991,No Gas Supply,Low,2025-02-13,2025-02-13,2.63,Closed
CMP00172,C100710,No Gas Supply,Low,2025-01-08,2025-01-08,1.96,Closed
CMP00173,C100009,Billing Issue,Low,2025-11-09,2025-11-10,42.15,Closed
CMP00174,C100633,Gas Leakage,High,2025-08-06,2025-08-06,0.78,Closed
CMP00175,C100234,Gas Leakage,High,2025-06-27,2025-06-27,2.63,Closed
CMP00176,C100461,Meter Issue,Medium,2025-04-21,,,Pending
CMP00177,C100704,No Gas Supply,Low,2025-02-07,,,Pending
CMP00178,C100508,Low Pressure,Medium,2025-06-12,2025-06-12,18.23,Closed
CMP00179,C100617,No Gas Supply,Medium,2025-12-09,,,Pending
CMP00180,C100373,Gas Leakage,High,2025-06-09,,,Pending
CMP00181,C100612,Low Pressure,Medium,2025-07-03,2025-07-03,9.11,Closed
CMP00182,C100616,Low Pressure,Low,2025-08-03,2025-08-03,14.29,Closed
CMP00183,C100527,Low Pressure,Low,2025-11-11,2025-11-11,6.45,Closed
CMP00184,C100616,Gas Leakage,High,2025-12-10,,,Pending
CMP00185,C100259,No Gas Supply,Low,2025-06-23,2025-06-23,2.12,Closed
CMP00186,C100122,Gas Leakage,High,2025-05-19,2025-05-19,0.57,Closed
CMP00187,C100142,Meter Issue,Low,2025-02-28,2025-03-02,67.25,Closed
CMP00188,C100858,Low Pressure,Medium,2025-06-30,2025-06-30,13.69,Closed
CMP00189,C100104,No Gas Supply,Medium,2025-09-14,,,Pending
CMP00190,C100936,No Gas Supply,Low,2025-04-19,2025-04-19,1.93,Closed
CMP00191,C100413,Gas Leakage,High,2025-06-07,2025-06-07,1.24,Closed
CMP00192,C100316,No Gas Supply,Low,2025-07-15,,,Pending
CMP00193,C100932,Gas Leakage,High,2025-04-14,2025-04-14,2.16,Closed
CMP00194,C100238,Meter Issue,Medium,2025-11-20,2025-11-22,59.76,Closed
CMP00195,C100243,Billing Issue,Medium,2025-04-04,,,Pending
CMP00196,C100571,No Gas Supply,Low,2025-05-27,2025-05-27,2.56,Closed
CMP00197,C100380,Low Pressure,Medium,2025-06-13,,,Pending
CMP00198,C100777,Meter Issue,Low,2025-07-19,2025-07-24,143.68,Closed
CMP00199,C100771,Low Pressure,Low,2025-07-13,,,Pending
CMP00200,C100976,Billing Issue,Medium,2025-11-18,,,Pending
CMP00201,C100644,Gas Leakage,High,2025-11-20,2025-11-20,1.93,Closed
CMP00202,C100304,Low Pressure,Low,2025-11-24,2025-11-24,23.19,Closed
CMP00203,C100938,Low Pressure,Low,2025-12-21,,,Pending
CMP00204,C100242,Gas Leakage,High,2025-02-26,2025-02-26,1.12,Closed
CMP00205,C100745,No Gas Supply,Low,2025-05-27,2025-05-27,2.95,Closed
CMP00206,C100065,Meter Issue,Low,2025-08-03,2025-08-04,31.1,Closed
CMP00207,C100861,Billing Issue,Low,2025-01-12,2025-01-16,104.88,Closed
CMP00208,C100105,Low Pressure,Low,2025-02-26,,,Pending
CMP00209,C100931,Low Pressure,Medium,2025-08-16,2025-08-16,7.7,Closed
CMP00210,C100875,Low Pressure,Medium,2025-05-28,,,Pending
CMP00211,C100696,Low Pressure,Low,2025-04-07,2025-04-07,6.3,Closed
CMP00212,C100873,Low Pressure,Medium,2025-01-18,2025-01-18,9.53,Closed
CMP00213,C100558,No Gas Supply,Low,2025-02-10,2025-02-10,1.76,Closed
CMP00214,C100133,Gas Leakage,High,2025-06-12,2025-06-12,0.5,Closed
CMP00215,C100551,Meter Issue,Low,2025-12-05,2025-12-07,64.6,Closed
CMP00216,C100448,Meter Issue,Low,2025-01-08,2025-01-14,156.97,Closed
CMP00217,C100753,Billing Issue,Medium,2025-05-11,,,Pending
CMP00218,C100602,Gas Leakage,High,2025-03-27,2025-03-27,2.51,Closed
CMP00219,C100322,No Gas Supply,Medium,2025-03-25,2025-03-25,2.33,Closed
CMP00220,C100607,Meter Issue,Medium,2025-09-11,,,Pending
CMP00221,C100406,No Gas Supply,Low,2025-03-03,2025-03-03,2.93,Closed
CMP00222,C100835,Low Pressure,Low,2025-05-29,2025-05-29,13.71,Closed
CMP00223,C100617,Low Pressure,Low,2025-03-31,,,Pending
CMP00224,C100897,Low Pressure,Medium,2025-04-09,,,Pending
CMP00225,C100978,No Gas Supply,Low,2025-09-09,2025-09-09,2.52,Closed
CMP00226,C100570,No Gas Supply,Medium,2025-07-03,,,Pending
CMP00227,C100658,Low Pressure,Medium,2025-11-30,2025-11-30,21.87,Closed
CMP00228,C100837,Meter Issue,Medium,2025-09-25,2025-09-29,99.58,Closed
CMP00229,C100781,Billing Issue,Medium,2025-02-10,2025-02-13,95.22,Closed
CMP00230,C100956,Low Pressure,Medium,2025-07-02,,,Pending
CMP00231,C100070,Gas Leakage,High,2025-08-27,2025-08-27,0.89,Closed
CMP00232,C100227,Low Pressure,Medium,2025-01-02,2025-01-02,22.74,Closed
CMP00233,C100003,No Gas Supply,Low,2025-03-09,2025-03-09,1.67,Closed
CMP00234,C100162,No Gas Supply,Low,2025-04-08,,,Pending
CMP00235,C100174,Billing Issue,Medium,2025-07-02,2025-07-04,52.38,Closed
CMP00236,C100341,Gas Leakage,High,2025-08-20,,,Pending
CMP00237,C100703,Meter Issue,Medium,2025-03-15,2025-03-17,57.27,Closed
CMP00238,C100653,Billing Issue,Low,2025-08-03,,,Pending
CMP00239,C100750,Meter Issue,Low,2025-08-29,,,Pending
CMP00240,C100691,Billing Issue,Medium,2025-10-23,,,Pending
CMP00241,C100053,Low Pressure,Low,2025-08-23,2025-08-23,19.66,Closed
CMP00242,C100200,Low Pressure,Medium,2025-06-15,,,Pending
CMP00243,C100260,Meter Issue,Low,2025-11-25,,,Pending
CMP00244,C100677,No Gas Supply,Low,2025-07-29,,,Pending
CMP00245,C100375,No Gas Supply,Medium,2025-12-15,2025-12-15,1.58,Closed
CMP00246,C100452,Low Pressure,Low,2025-08-09,2025-08-09,17.49,Closed
CMP00247,C100698,Billing Issue,Low,2025-09-14,2025-09-18,115.37,Closed
CMP00248,C100616,Gas Leakage,High,2025-05-02,2025-05-02,2.85,Closed
CMP00249,C100976,Billing Issue,Low,2025-04-05,,,Pending
CMP00250,C100436,Billing Issue,Low,2025-09-17,2025-09-22,141.31,Closed
CMP00251,C100056,Low Pressure,Low,2025-11-11,,,Pending
CMP00252,C100620,Billing Issue,Medium,2025-07-08,,,Pending
CMP00253,C100297,Meter Issue,Low,2025-02-07,2025-02-13,160.99,Closed
CMP00254,C100560,No Gas Supply,Low,2025-02-16,2025-02-16,1.43,Closed
CMP00255,C100663,Billing Issue,Low,2025-01-28,2025-01-29,29.51,Closed
CMP00256,C100638,Gas Leakage,High,2025-06-19,2025-06-19,0.58,Closed
CMP00257,C100631,Gas Leakage,High,2025-02-08,,,Pending
CMP00258,C100153,No Gas Supply,Medium,2025-10-15,2025-10-15,1.39,Closed
CMP00259,C100562,No Gas Supply,Low,2025-07-15,,,Pending
CMP00260,C100735,Gas Leakage,High,2025-07-21,2025-07-21,0.72,Closed
CMP00261,C100590,Gas Leakage,High,2025-08-03,,,Pending
CMP00262,C100915,Gas Leakage,High,2025-09-26,2025-09-26,0.86,Closed
CMP00263,C100059,No Gas Supply,Medium,2025-03-13,2025-03-13,2.41,Closed
CMP00264,C100824,Meter Issue,Medium,2025-04-18,2025-04-21,87.37,Closed
CMP00265,C100609,Gas Leakage,High,2025-03-10,,,Pending
CMP00266,C100155,No Gas Supply,Medium,2025-03-30,2025-03-30,1.51,Closed
CMP00267,C100477,Gas Leakage,High,2025-08-15,2025-08-15,1.75,Closed
CMP00268,C100694,Meter Issue,Medium,2025-02-07,,,Pending
CMP00269,C100203,Low Pressure,Medium,2025-11-25,2025-11-25,8.23,Closed
CMP00270,C100595,No Gas Supply,Medium,2025-02-16,2025-02-16,1.72,Closed
CMP00271,C100502,Low Pressure,Medium,2025-03-17,2025-03-17,11.76,Closed
CMP00272,C100588,Billing Issue,Low,2025-03-13,2025-03-14,32.25,Closed
CMP00273,C100029,No Gas Supply,Low,2025-08-14,2025-08-14,2.88,Closed
CMP00274,C100666,Low Pressure,Low,2025-10-15,2025-10-15,21.86,Closed
CMP00275,C100468,Low Pressure,Medium,2025-06-29,2025-06-29,11.2,Closed
CMP00276,C100908,Meter Issue,Low,2025-04-25,2025-04-29,113.87,Closed
CMP00277,C100268,No Gas Supply,Low,2025-12-08,,,Pending
CMP00278,C100312,Gas Leakage,High,2025-10-27,2025-10-27,0.56,Closed
CMP00279,C100471,Meter Issue,Low,2025-03-22,2025-03-25,78.36,Closed
CMP00280,C100220,No Gas Supply,Medium,2025-05-25,2025-05-25,2.19,Closed
CMP00281,C100866,Meter Issue,Low,2025-05-26,2025-05-29,84.96,Closed
CMP00282,C100627,Low Pressure,Medium,2025-11-12,2025-11-12,6.35,Closed
CMP00283,C100882,Gas Leakage,High,2025-03-18,2025-03-18,1.7,Closed
CMP00284,C100303,No Gas Supply,Medium,2025-10-18,2025-10-18,1.49,Closed
CMP00285,C100495,Gas Leakage,High,2025-05-06,2025-05-06,2.07,Closed
CMP00286,C100186,Low Pressure,Low,2025-12-15,,,Pending
CMP00287,C100961,Low Pressure,Low,2025-06-25,2025-06-25,17.84,Closed
CMP00288,C100087,No Gas Supply,Medium,2025-10-14,2025-10-14,2.1,Closed
CMP00289,C100206,Low Pressure,Low,2025-07-14,2025-07-14,21.24,Closed
CMP00290,C100911,Billing Issue,Medium,2025-01-05,2025-01-10,137.94,Closed
CMP00291,C100032,Meter Issue,Medium,2025-02-25,2025-02-26,41.5,Closed
CMP00292,C100253,Low Pressure,Medium,2025-04-17,2025-04-17,23.58,Closed
CMP00293,C100704,Meter Issue,Medium,2025-07-26,2025-07-30,119.63,Closed
CMP00294,C100891,Low Pressure,Medium,2025-06-19,2025-06-19,14.67,Closed
CMP00295,C100459,No Gas Supply,Low,2025-02-25,2025-02-25,1.95,Closed
CMP00296,C100717,No Gas Supply,Low,2025-03-29,2025-03-29,2.62,Closed
CMP00297,C100605,Meter Issue,Medium,2025-06-18,,,Pending
CMP00298,C100984,Low Pressure,Medium,2025-07-09,,,Pending
CMP00299,C100148,Meter Issue,Medium,2025-03-04,2025-03-06,67.09,Closed
CMP00300,C100575,No Gas Supply,Medium,2025-08-28,2025-08-28,2.34,Closed
CMP00301,C100302,No Gas Supply,Low,2025-10-23,2025-10-23,1.77,Closed
CMP00302,C100975,Billing Issue,Low,2025-04-25,,,Pending
CMP00303,C100004,Billing Issue,Medium,2025-03-17,2025-03-21,104.57,Closed
CMP00304,C100439,Low Pressure,Medium,2025-05-04,2025-05-04,16.1,Closed
CMP00305,C100120,Gas Leakage,High,2025-03-21,2025-03-21,1.82,Closed
CMP00306,C100547,Low Pressure,Medium,2025-10-16,2025-10-16,15.84,Closed
CMP00307,C100259,Low Pressure,Medium,2025-01-18,2025-01-18,4.76,Closed
CMP00308,C100783,Billing Issue,Medium,2025-01-16,2025-01-18,55.31,Closed
CMP00309,C100183,Gas Leakage,High,2025-01-21,2025-01-21,1.46,Closed
CMP00310,C100586,Billing Issue,Medium,2025-05-08,2025-05-11,72.61,Closed
CMP00311,C100476,No Gas Supply,Medium,2025-12-28,,,Pending
CMP00312,C100639,Low Pressure,Medium,2025-04-20,,,Pending
CMP00313,C100624,No Gas Supply,Low,2025-03-10,2025-03-10,1.75,Closed
CMP00314,C100202,Billing Issue,Low,2025-01-29,,,Pending
CMP00315,C100104,Gas Leakage,High,2025-11-19,2025-11-19,1.28,Closed
CMP00316,C100037,No Gas Supply,Low,2025-02-24,2025-02-24,1.61,Closed
CMP00317,C100513,Gas Leakage,High,2025-12-26,2025-12-26,1.69,Closed
CMP00318,C100642,No Gas Supply,Low,2025-04-27,2025-04-27,1.31,Closed
CMP00319,C100494,Meter Issue,Low,2025-01-01,2025-01-02,39.45,Closed
CMP00320,C100304,No Gas Supply,Low,2025-01-14,,,Pending
CMP00321,C100718,Low Pressure,Low,2025-12-14,2025-12-14,21.97,Closed
CMP00322,C100078,Gas Leakage,High,2025-02-21,2025-02-21,2.15,Closed
CMP00323,C100364,Low Pressure,Medium,2025-05-11,2025-05-11,20.09,Closed
CMP00324,C100403,No Gas Supply,Low,2025-07-22,2025-07-22,1.67,Closed
CMP00325,C100980,Meter Issue,Medium,2025-08-05,2025-08-11,152.2,Closed
CMP00326,C100889,Meter Issue,Medium,2025-02-20,2025-02-23,85.99,Closed
CMP00327,C100530,Meter Issue,Low,2025-11-21,2025-11-24,92.23,Closed
CMP00328,C100266,Meter Issue,Low,2025-09-20,,,Pending
CMP00329,C100508,Meter Issue,Low,2025-01-21,2025-01-22,27.18,Closed
CMP00330,C100091,Low Pressure,Low,2025-02-04,2025-02-04,8.21,Closed
CMP00331,C100080,Low Pressure,Low,2025-07-19,2025-07-19,16.6,Closed
CMP00332,C100218,No Gas Supply,Medium,2025-05-18,2025-05-18,2.53,Closed
CMP00333,C100914,Gas Leakage,High,2025-04-02,2025-04-02,1.26,Closed
CMP00334,C100845,Low Pressure,Medium,2025-09-09,2025-09-09,20.33,Closed
CMP00335,C100377,Gas Leakage,High,2025-01-01,2025-01-01,2.14,Closed
CMP00336,C100426,Billing Issue,Low,2025-03-14,,,Pending
CMP00337,C100351,Gas Leakage,High,2025-08-02,,,Pending
CMP00338,C100867,Gas Leakage,High,2025-12-11,2025-12-11,0.58,Closed
CMP00339,C100294,Gas Leakage,High,2025-08-20,2025-08-20,1.11,Closed
CMP00340,C100661,Billing Issue,Medium,2025-06-23,2025-06-29,167.14,Closed
CMP00341,C100546,Low Pressure,Medium,2025-09-24,2025-09-24,14.41,Closed
CMP00342,C100800,Gas Leakage,High,2025-09-13,2025-09-13,0.5,Closed
CMP00343,C100093,Low Pressure,Medium,2025-11-08,2025-11-08,17.42,Closed
CMP00344,C100862,Billing Issue,Low,2025-04-26,2025-04-29,77.24,Closed
CMP00345,C100585,Low Pressure,Low,2025-07-08,2025-07-08,5.94,Closed
CMP00346,C100767,Billing Issue,Low,2025-11-08,2025-11-14,158.53,Closed
