Reading_ID,Reading_Date,Customer_ID,Previous_Reading,Current_Reading,Consumption_SCM,Correction_Factor,Corrected_Consumption_SCM,Rate_Per_SCM,Total_Sales
R000300,2025-01-01,C100300,1588,1655,67,1.02,68.34,55,3758.7
R000301,2025-01-01,C100301,1651,1751,100,1.05,105.0,55,5775.0
R000302,2025-01-01,C100302,4649,4748,99,1.01,99.99,55,5499.45
R000303,2025-01-01,C100303,3854,3891,37,1.05,38.85,55,2136.75
R000304,2025-01-01,C100304,1013,1071,58,1.05,60.9,55,3349.5
R000305,2025-01-01,C100305,3795,3832,37,1.02,37.74,55,2075.7
R000306,2025-01-01,C100306,4011,4078,67,1.01,67.67,55,3721.85
R000307,2025-01-01,C100307,1055,1125,70,1.03,72.1,55,3965.5
R000308,2025-01-01,C100308,3881,3932,51,1.05,53.55,55,2945.25
R000309,2025-01-01,C100309,2309,2362,53,1.04,55.12,55,3031.6
R000310,2025-01-01,C100310,3078,3142,64,1.02,65.28,55,3590.4
R000311,2025-01-01,C100311,2623,2700,77,1.04,80.08,55,4404.4
R000312,2025-01-01,C100312,1714,1753,39,1.03,40.17,55,2209.35
R000313,2025-01-01,C100313,2558,2633,75,1.06,79.5,55,4372.5
R000314,2025-01-01,C100314,2565,2634,69,1.06,73.14,55,4022.7
R000315,2025-01-01,C100315,3983,4045,62,1.02,63.24,55,3478.2
R000316,2025-01-01,C100316,2829,2908,79,1.02,80.58,55,4431.9
R000317,2025-01-01,C100317,1800,1835,35,1.01,35.35,55,1944.25
R000318,2025-01-01,C100318,1870,1938,68,1.01,68.68,55,3777.4
R000319,2025-01-01,C100319,4725,4825,100,1.01,101.0,55,5555.0
R000320,2025-01-01,C100320,1659,1707,48,1.05,50.4,55,2772.0
R000321,2025-01-01,C100321,3461,3529,68,1.05,71.4,55,3927.0
R000322,2025-01-01,C100322,4450,4543,93,1.05,97.65,55,5370.75
R000323,2025-01-01,C100323,3361,3416,55,1.06,58.3,55,3206.5
R000324,2025-01-01,C100324,3251,3320,69,1.03,71.07,55,3908.85
R000325,2025-01-01,C100325,4785,4863,78,1.01,78.78,55,4332.9
R000326,2025-01-01,C100326,2109,2173,64,1.04,66.56,55,3660.8
R000327,2025-01-01,C100327,1299,1335,36,1.02,36.72,55,2019.6
R000328,2025-01-01,C100328,3561,3644,83,1.01,83.83,55,4610.65
R000329,2025-01-01,C100329,2873,2934,61,1.02,62.22,55,3422.1
R000330,2025-01-01,C100330,3592,3651,59,1.03,60.77,55,3342.35
R000331,2025-01-01,C100331,4056,4103,47,1.02,47.94,55,2636.7
R000332,2025-01-01,C100332,1557,1634,77,1.02,78.54,55,4319.7
R000333,2025-01-01,C100333,2791,2876,85,1.05,89.25,55,4908.75
R000334,2025-01-01,C100334,3394,3488,94,1.04,97.76,55,5376.8
R000335,2025-01-01,C100335,4505,4538,33,1.04,34.32,55,1887.6
R000336,2025-01-01,C100336,3393,3428,35,1.02,35.7,55,1963.5
R000337,2025-01-01,C100337,3066,3105,39,1.02,39.78,55,2187.9
R000338,2025-01-01,C100338,1454,1522,68,1.05,71.4,55,3927.0
R000339,2025-01-01,C100339,3668,3711,43,1.06,45.58,55,2506.9
R000340,2025-01-01,C100340,2232,2318,86,1.04,89.44,55,4919.2
R000341,2025-01-01,C100341,1515,1605,90,1.06,95.4,55,5247.0
R000342,2025-01-01,C100342,4535,4581,46,1.03,47.38,55,2605.9
R000343,2025-01-01,C100343,1455,1493,38,1.05,39.9,55,2194.5
R000344,2025-01-01,C100344,3371,3468,97,1.05,101.85,55,5601.75
R000345,2025-01-01,C100345,3523,3558,35,1.05,36.75,55,2021.25
R000346,2025-01-01,C100346,1913,1960,47,1.02,47.94,55,2636.7
R000347,2025-01-01,C100347,1193,1258,65,1.04,67.6,55,3718.0
R000348,2025-01-01,C100348,2611,2696,85,1.06,90.1,55,4955.5
R000349,2025-01-01,C100349,4291,4374,83,1.04,86.32,55,4747.6
R000350,2025-01-01,C100350,2877,2908,31,1.05,32.55,55,1790.25
R000351,2025-01-01,C100351,2761,2801,40,1.06,42.4,55,2332.0
R000352,2025-01-01,C100352,3901,3976,75,1.06,79.5,55,4372.5
R000353,2025-01-01,C100353,2439,2482,43,1.04,44.72,55,2459.6
R000354,2025-01-01,C100354,4525,4588,63,1.04,65.52,55,3603.6
R000355,2025-01-01,C100355,4962,5005,43,1.02,43.86,55,2412.3
R000356,2025-01-01,C100356,1358,1419,61,1.05,64.05,55,3522.75
R000357,2025-01-01,C100357,1284,1383,99,1.06,104.94,55,5771.7
R000358,2025-01-01,C100358,1191,1270,79,1.06,83.74,55,4605.7
R000359,2025-01-01,C100359,4718,4813,95,1.03,97.85,55,5381.75
R000360,2025-01-01,C100360,2808,2850,42,1.04,43.68,55,2402.4
R000361,2025-01-01,C100361,2704,2797,93,1.02,94.86,55,5217.3
R000362,2025-01-01,C100362,1081,1158,77,1.05,80.85,55,4446.75
R000363,2025-01-01,C100363,3318,3386,68,1.05,71.4,55,3927.0
